Movie,Actor,Strength
"Prince & Me, The",Jonathan Pryce,0.9
Snow White and the Huntsman,Jonathan Pryce,0.9
Battleship,Jonathan Pryce,0.72
Däumeline,Jonathan Pryce,0.675
Im Juli,Jonathan Pryce,0.675
"Illusionist, The",Jonathan Pryce,0.54
Oxford Murders,Jonathan Pryce,0.405
Red Planet,Jonathan Pryce,0.27
"Maulwurf, Der - Abenteuer als Gärtner",Jonathan Pryce,0.16
Batman Begins,Jonathan Pryce,0.12
Liebe und Eis (The Cutting Edge),Jonathan Pryce,0.008
Robin Hood,Jonathan Pryce,0.021
Pinocchio,Jonathan Pryce,0.007
"Book of Eli, The",Jonathan Pryce,0.0035
Dornröschen,Michelle Yeoh,1
Liebe und Eis (The Cutting Edge),Michelle Yeoh,0.81
"Kill Bill, Volume 1",Michelle Yeoh,0.747
Robots,Michelle Yeoh,0.72
Schindler's List,Michelle Yeoh,0.675
Red Planet,Michelle Yeoh,0.48
Snowpiercer,Michelle Yeoh,2.1
Resident Evil: Extinction,Michelle Yeoh,0.0035
Snowpiercer,Teri Hatcher,0.72
Meet the Fockers,Judi Dench,1.1
Inside Man,Judi Dench,1
McLeods Töchter: Staffel 8,Judi Dench,0.81
French Kiss,Judi Dench,0.64
"Legend of 1900, The (Der Ozeanpianist)",Judi Dench,0.24
McLeods Töchter: Staffel 8,Desmond Llewelyn,1.25
Meet the Fockers,Desmond Llewelyn,1
Inside Man,Desmond Llewelyn,0.95
"Schatzinsel, Die (PRO7)",Desmond Llewelyn,0.68
Eragon,Desmond Llewelyn,0.9
FernGully 1 & 2,Desmond Llewelyn,0.81
"Legend of 1900, The (Der Ozeanpianist)",Desmond Llewelyn,0.72
Mona Lisa Smile,Desmond Llewelyn,0.72
"Schuh des Manitu, Der",Desmond Llewelyn,0.675
"Insider, The",Desmond Llewelyn,1.6
Monster,Desmond Llewelyn,1.6
Schindler's List,Desmond Llewelyn,0.495
"American, The",Pierce Brosnan,0.225
Paycheck,Denise Richards,1.1
Hamburger Hill,Denise Richards,1
"Experiment, Das",Denise Richards,0.9
McLeods Töchter: Staffel 6,Denise Richards,0.81
Perfect World,Denise Richards,0.72
"Brothers Grimm, The",Denise Richards,0.6
Oxford Murders,Denise Richards,0.105
Final Destination,Denise Richards,0.006
Blow,Sophie Marceau,1.125
Plötzlich Prinzessin,Sophie Marceau,0.8
Harry Potter VI - Halbblutprinz,Robert Carlyle,1
Cars,Robert Carlyle,0.855
Hugo Cabret,Robert Carlyle,1
Lord of the Rings III - The Return of the King,Robert Carlyle,0.68
Bambi,Robert Carlyle,0.6
Black Swan,Robbie Coltrane,1.6
Operation: Kingdom,Robbie Coltrane,0.4
Saving Private Ryan,Judi Dench,0.8
Half Light,Judi Dench,0.9
"Scharlachrote Buchstabe, Der (Scarlet Letter)",Judi Dench,0.63
"Illusionist, The",Judi Dench,0.72
Krieg der Welten (War of the Worlds),Pierce Brosnan,0.2
Far and Away (In einem Fernen Land),Pierce Brosnan,0.07
Big Fish,Halle Berry,1.3
"Final Call, The",Halle Berry,0.9
"Book of Eli, The",Halle Berry,0.405
München,Halle Berry,1
Harry Potter I - Stein der Weisen,Halle Berry,0.12
Krieg der Welten (War of the Worlds),Halle Berry,0.08
Resident Evil: Extinction,Rosamund Pike,1.25
Resident Evil: Extinction,Rosamund Pike,1
"Illusionist, The",Rosamund Pike,0.99
ROM - 1. Staffel,Toby Stephens,0.99
P.S. – I Love You,Toby Stephens,0.9
Fantastic Four,Toby Stephens,0.0009
Rio,Toby Stephens,0.72
LOST - Staffel 5,Toby Stephens,0.64
City of God,Toby Stephens,0.6
"Score, The",Toby Stephens,0.56
"Maulwurf, Der - Abenteuer mit dem Igel",Toby Stephens,0.52
"Departed, The",Toby Stephens,0.48
Dirty Dancing I,Toby Stephens,0.08
Hugo Cabret,Toby Stephens,0.665
Herr der Gezeiten (The Prince of Tides),Toby Stephens,0.33
Im Weissen Rössl,Rick Yune,1.25
"Missing, The",Rick Yune,1
"Maulwurf, Der - Abenteuer mit dem Igel",Rick Yune,0.855
Dirty Dancing I,Rick Yune,0.81
Anna (TV Serie),Rick Yune,0.45
Along Came Polly (… und dann kam Polly),Rick Yune,0.6
Mein Name ist Eugen,Rick Yune,0.32
I am Legend,Judi Dench,1
Ice Age 2: The Meltdown,Judi Dench,0.8
"Score, The",Judi Dench,0.81
"Asterix, der Gallier",Judi Dench,0.675
"Last Days on Mars, The",Judi Dench,0.63
"Maulwurf, Der - Abenteuer mit dem Igel",Judi Dench,0.64
Breaking and Entering,Judi Dench,0.48
Poseidon,Judi Dench,0.4
"Baader Meinhof Komplex, Der",Judi Dench,0.08
"Parfum, Das",Judi Dench,0.08
"Eiskönigin, Die (Frozen)",Judi Dench,0.455
Hope Springs,John Cleese,1.35
I am Legend,John Cleese,1.125
Ice Age 2: The Meltdown,John Cleese,0.99
Gladiator,John Cleese,0.9
"Last Samurai, The",John Cleese,0.45
Liebe und Eis (The Cutting Edge),John Cleese,0.52
"Score, The",John Cleese,0.48
Se7en,John Cleese,0.36
NBA - Die 100 Besten Spiele der NBA,John Cleese,0.32
"Departed, The",John Cleese,0.2
Harry Potter V - Orden des Phönix,John Cleese,0.16
Annie,John Cleese,0.08
Apocalypse Now,John Cleese,0.064
"Eiskönigin, Die (Frozen)",John Cleese,0.064
"Merkwürdige Verhalten geschlechtsreifer Großstädter zur Paarungszeit, Das",John Cleese,0.064
"Asterix, sieg über Cäsar",John Cleese,0.035
Flug 93 (United 93),John Cleese,0.007
"Ghostwriter, Der",John Cleese,0.007
Kaltes Blut (Infamous),John Cleese,0.0035
"Island, The",John Cleese,0.06
Bridget Jones's Diary,John Cleese,0.006
Chliine Iisbär - Em Nanouk sini Rettig,John Cleese,0.006
"Arielle, die Meerjungfrau",John Cleese,0.003
Dornröschen,Daniel Craig,1.5
"Score, The",Daniel Craig,0.9
Ice Age 3: Dawn of the Dinosaurs,Daniel Craig,0.81
Harry Potter VII - Heiligtümer des Todes (Teil 2),Daniel Craig,0.72
"Hölle Vietnams, Die (A Bright Shining Lie)",Daniel Craig,0.675
Ice Age 4: Continental Drift,Daniel Craig,0.63
Snowpiercer,Daniel Craig,0.09
Argo,Daniel Craig,0.4
"Ghostwriter, Der",Daniel Craig,0.28
Flug 93 (United 93),Daniel Craig,0.245
"Dschungelbuch, Das",Daniel Craig,0.105
Dark Angel - Season Two,Judi Dench,1
Bones: Die Knochenjägerin (Season 2),Judi Dench,0.855
Sinn & Sinnlichkeit (Sense and Sensibility),Judi Dench,0.81
Frequency,Judi Dench,0.765
Frequency,Jeffrey Wright,1.1
"Junge im gestreiften Pyjama, Der",Jeffrey Wright,1
Déjà Vu,Jeffrey Wright,0.81
Bones: Die Knochenjägerin (Season 2),Jeffrey Wright,0.45
Dark Angel - Season Two,Jeffrey Wright,0.36
P.S. – Liebe auf Anfang,Jeffrey Wright,0.27
Madagascar,Jeffrey Wright,0.6
Batman - The Dark Knight,Jeffrey Wright,0.52
Hostage,Jeffrey Wright,0.44
Day After Tomorrow,Jeffrey Wright,0.12
Dark Angel - Season Two,Eva Green,1
"Junge im gestreiften Pyjama, Der",Eva Green,0.99
Frequency,Eva Green,0.81
Sinn & Sinnlichkeit (Sense and Sensibility),Eva Green,0.81
Déjà Vu,Eva Green,0.72
"Arielle, die Meerjungfrau",Eva Green,0.675
Green Zone,Eva Green,0.54
P.S. – Liebe auf Anfang,Eva Green,0.45
Bones: Die Knochenjägerin (Season 2),Eva Green,0.18
D-Day 6.6.44,Eva Green,0.52
Cool Runnings,Eva Green,0.4
Day After Tomorrow,Eva Green,0.12
Pirates of the Caribbean II: Dead Man's Chest,Eva Green,0.08
Jeanne d'Arc - Die Frau des Jahrtausends,Eva Green,0.04
Batman - The Dark Knight,Eva Green,0.035
Kingdom of Heaven,Eva Green,0.007
Dante's Peak,Mads Mikkelsen,1
"Junge im gestreiften Pyjama, Der",Mads Mikkelsen,0.81
Madagascar,Mads Mikkelsen,0.675
Batman - The Dark Knight,Mads Mikkelsen,0.585
Hostage,Mads Mikkelsen,0.495
Matrix Revolutions,Mads Mikkelsen,0.2
Day After Tomorrow,Mads Mikkelsen,0.12
Fifth Element,Giancarlo Giannini,1.35
Machtlos (Rendition),Giancarlo Giannini,0.45
Ronin,Daniel Craig,1
Charlie Wilson's War,Daniel Craig,0.9
"Jacket, The",Daniel Craig,0.72
Festen,Daniel Craig,0.63
I am Legend,Daniel Craig,0.45
Dark Angel - Season Two,Daniel Craig,0.48
"Arielle, die Meerjungfrau",Daniel Craig,0.32
"Illusionist, The",Daniel Craig,0.07
"Reader, The (Der Vorleser)",Olga Kurylenko,0.09
"Reader, The (Der Vorleser)",Mathieu Amalric,1
"Schuh des Manitu, Der",Mathieu Amalric,0.81
Dresden,Mathieu Amalric,0.72
"Schatzinsel, Die (PRO7)",Mathieu Amalric,0.63
Miss Undercover I,Mathieu Amalric,0.18
Drei Haselnüsse für Aschenbrödel,Mathieu Amalric,0.48
San Andreas,Mathieu Amalric,0.4
Lola Rennt,Mathieu Amalric,0.32
Männerpension,Mathieu Amalric,0.08
Monty Python and the Holy Grail,Mathieu Amalric,0.035
"Butterfly Effect 2, The",Mathieu Amalric,0.03
Ich - Einfach unverbesserlich 2 (Minions),Gemma Arterton,0.99
Dornröschen,Gemma Arterton,0.9
Ice Age 2: The Meltdown,Gemma Arterton,0.81
"Departed, The",Gemma Arterton,0.72
Monty Python and the Holy Grail,Gemma Arterton,0.54
Bambi,Gemma Arterton,0.45
Lord of the Rings III - The Return of the King,Gemma Arterton,0.36
"Score, The",Gemma Arterton,0.56
Bandidas,Gemma Arterton,0.24
Cars,Gemma Arterton,0.2
"Longest Day, The",Gemma Arterton,0.16
"Family Stone, The",Gemma Arterton,0.12
Carolina Moon (Lilien im Sommerwind),Gemma Arterton,0.08
Exit,Gemma Arterton,0.08
Daredevil,Gemma Arterton,0.07
Cargo,Gemma Arterton,0.006
Pate I (The Godfather),Gemma Arterton,0.006
Full Metal Jacket,Judi Dench,8
"Asterix, der Gallier",Jeffrey Wright,0.756
City of Angels (Stadt der Engel),Jeffrey Wright,0.72
Dornröschen,Jeffrey Wright,0.702
"Illusionist, The",Jeffrey Wright,0.675
Ice Age 2: The Meltdown,Jeffrey Wright,0.63
City of God,Jeffrey Wright,0.585
"Departed, The",Jeffrey Wright,0.585
Final Destination,Jeffrey Wright,0.45
I.Q.,Jeffrey Wright,0.45
"Sissi, die junge Kaiserin",Jeffrey Wright,0.45
"Last Days on Mars, The",Jeffrey Wright,0.27
"Score, The",Jeffrey Wright,0.225
Kingsman,Jeffrey Wright,0.135
Resident Evil: Extinction,Jeffrey Wright,0.00225
Liebe und Eis (The Cutting Edge),Jeffrey Wright,0.24
McLeods Töchter: Staffel 6,Jeffrey Wright,0.2
McLeods Töchter: Staffel 7,Jeffrey Wright,0.2
"Hölle Vietnams, Die (A Bright Shining Lie)",Jeffrey Wright,0.16
"Island, The",Jeffrey Wright,0.16
D-Day 6.6.44,Jeffrey Wright,0.08
Extreme Rage (Man Apart),Jeffrey Wright,0.08
Fantastic Four: Rise of the Silver Surfer,Jeffrey Wright,0.08
I am Legend,Jeffrey Wright,0.08
Robin Hood: Prince of Thieves,Jeffrey Wright,0.08
Sixth Sense,Jeffrey Wright,0.08
"Maulwurf, Der - Abenteuer als Fotograf",Jeffrey Wright,0.064
Mein Name ist Eugen,Jeffrey Wright,0.064
"Maulwurf, Der - Abenteuer mit dem Igel",Jeffrey Wright,0.056
Haven - Staffel 1,Jeffrey Wright,0.04
Ice Age 4: Continental Drift,Jeffrey Wright,0.04
"Kühe sind los, Die",Jeffrey Wright,0.04
Poseidon,Jeffrey Wright,0.04
"American, The",Jeffrey Wright,0.024
Cars,Jeffrey Wright,0.024
Cloverfield,Jeffrey Wright,0.024
Down in the Valley,Jeffrey Wright,0.024
NBA - Die 100 Besten Spiele der NBA,Jeffrey Wright,0.024
No Country for old Men,Jeffrey Wright,0.024
Oblivion,Jeffrey Wright,0.024
Perfect World,Jeffrey Wright,0.024
Rambo IV,Jeffrey Wright,0.024
Red Planet,Jeffrey Wright,0.024
Se7en,Jeffrey Wright,0.024
"Arielle, die Meerjungfrau",Jeffrey Wright,0.016
Iron Man,Jeffrey Wright,0.016
"Pacific, The",Jeffrey Wright,0.016
Blow,Jeffrey Wright,0.008
Dirty Dancing 2,Jeffrey Wright,0.008
"Eiskönigin, Die (Frozen)",Jeffrey Wright,0.008
"Family Stone, The",Jeffrey Wright,0.008
Kundun,Jeffrey Wright,0.008
LOST - Staffel 2,Jeffrey Wright,0.008
LOST - Staffel 5,Jeffrey Wright,0.008
Notting Hill,Jeffrey Wright,0.008
"Pompeji, Die letzten Tage von Pompeji",Jeffrey Wright,0.008
Robots,Jeffrey Wright,0.008
Schindler's List,Jeffrey Wright,0.008
Krieg der Welten (War of the Worlds),Jeffrey Wright,0.004
Catwoman,Jeffrey Wright,0.002
Coyote Ugly,Jeffrey Wright,0.002
LOST - Staffel 6,Jeffrey Wright,0.002
Bones: Die Knochenjägerin (Season 3),Jeffrey Wright,0.07
Neutral,Jeffrey Wright,0.07
"Children of Men, The",Jeffrey Wright,0.035
"Ghostwriter, Der",Jeffrey Wright,0.035
Head in the Clouds,Jeffrey Wright,0.035
"Last Samurai, The",Jeffrey Wright,0.035
Sennentuntschi,Jeffrey Wright,0.035
Mission: Impossible,Jeffrey Wright,0.028
"Asterix, sieg über Cäsar",Jeffrey Wright,0.014
Casanova,Jeffrey Wright,0.014
Romeo + Juliet,Jeffrey Wright,0.014
Sideways,Jeffrey Wright,0.014
"Bourne Identity, The",Jeffrey Wright,0.007
Breaking and Entering,Jeffrey Wright,0.007
"Chef zum Verlieben, Ein (Two weeks notice)",Jeffrey Wright,0.007
Dead Man Walking,Jeffrey Wright,0.007
"Dschungelbuch, Das",Jeffrey Wright,0.007
Harry Potter V - Orden des Phönix,Jeffrey Wright,0.007
Liebe auf Umwegen (Raising Helen),Jeffrey Wright,0.007
Lord of the Rings I - The Fellowship,Jeffrey Wright,0.007
Mimic,Jeffrey Wright,0.007
"Pakt, Der (The Couvenant)",Jeffrey Wright,0.007
"Perfect Man, The",Jeffrey Wright,0.007
Plötzlich Prinzessin,Jeffrey Wright,0.007
Benny Hill - The Best of Benny Hill ,Jeffrey Wright,0.0035
Daredevil,Jeffrey Wright,0.0035
"Good Shepherd, The",Jeffrey Wright,0.0035
Mit aller Macht (Primary Colors),Jeffrey Wright,0.0035
"Others, The",Jeffrey Wright,0.0035
"Reader, The (Der Vorleser)",Jeffrey Wright,0.0035
So was wie Liebe (A Lot Like Love),Jeffrey Wright,0.0035
Kingdom of Heaven,Jeffrey Wright,0.00175
"League of Extraordinary Gentlemen, The",Jeffrey Wright,0.00175
"Prophezeiung, Die",Jeffrey Wright,0.018
Flug 93 (United 93),Jeffrey Wright,0.012
Pate I (The Godfather),Jeffrey Wright,0.0015
Schneeweisschen und Rosenrot,Jeffrey Wright,0.0015
Metro,Giancarlo Giannini,0.9
Annie,Giancarlo Giannini,0.855
Gladiator,Giancarlo Giannini,0.81
Niko - Ein Rentier hebt ab,Giancarlo Giannini,0.72
"Maulwurf, Der - In der Stadt",Giancarlo Giannini,0.63
Ice Age 1,Giancarlo Giannini,0.315
Prinzessin Fantaghiro,Giancarlo Giannini,0.24
No Country for old Men,Giancarlo Giannini,0.16
Plötzlich Prinzessin,Giancarlo Giannini,0.16
San Andreas,Giancarlo Giannini,0.42
"Family Stone, The",Giancarlo Giannini,0.07
Mimic,Giancarlo Giannini,0.021
Breaking and Entering,Giancarlo Giannini,0.007
Pate I (The Godfather),Giancarlo Giannini,0.006
"Island, The",Jesper Christensen,1
Password Swordfish,Jesper Christensen,0.45
"Bourne Supremacy, The",Jesper Christensen,0.36
Robots,Jesper Christensen,0.36
D-Day 6.6.44,Jesper Christensen,0.315
"Ghostwriter, Der",Jesper Christensen,0.18
"Reader, The (Der Vorleser)",Jesper Christensen,0.18
Pulp Fiction,Jesper Christensen,0.135
"Children of Men, The",Jesper Christensen,0.108
Down in the Valley,Jesper Christensen,0.09
LOST - Staffel 2,Jesper Christensen,0.09
"Last Samurai, The",Jesper Christensen,0.072
American Princess,Jesper Christensen,0.054
Mission: Impossible,Jesper Christensen,0.054
NBA - Die 100 Besten Spiele der NBA,Jesper Christensen,0.054
Se7en,Jesper Christensen,0.054
Chliine Iisbär - Em Nanouk sini Rettig,Jesper Christensen,0.036
Band of Brothers (Wir waren wie Brüder),Jesper Christensen,0.027
"Pakt, Der (The Couvenant)",Jesper Christensen,0.027
Sennentuntschi,Jesper Christensen,0.2
Flug 93 (United 93),Jesper Christensen,0.16
Kingsman,Jesper Christensen,0.12
Safe House,Jesper Christensen,0.12
Haven - Staffel 1,Jesper Christensen,0.08
Million Dollar Baby,Jesper Christensen,0.08
Schindler's List,Jesper Christensen,0.08
Meet the Fockers,Jesper Christensen,0.064
"Chef zum Verlieben, Ein (Two weeks notice)",Jesper Christensen,0.04
Dead Man Walking,Jesper Christensen,0.04
Jeanne d'Arc - Die Frau des Jahrtausends,Jesper Christensen,0.04
"League of Extraordinary Gentlemen, The",Jesper Christensen,0.04
"Others, The",Jesper Christensen,0.04
Hearts in Atlantis,Jesper Christensen,0.032
"Kill Bill, Volume 1",Jesper Christensen,0.032
LOST - Staffel 6,Jesper Christensen,0.032
Fahrenheit 9/11,Jesper Christensen,0.024
Hangover,Jesper Christensen,0.024
Kundun,Jesper Christensen,0.024
"Perfect Man, The",Jesper Christensen,0.024
Bones: Die Knochenjägerin (Season 4),Jesper Christensen,0.016
Dirty Dancing 2,Jesper Christensen,0.016
Dumbo,Jesper Christensen,0.016
National Treasure II: Book of Secrets,Jesper Christensen,0.016
S.W.A.T.,Jesper Christensen,0.016
Drachenzähmen (How to Train Your Dragon),Jesper Christensen,0.008
Kingdom of Heaven,Jesper Christensen,0.008
"Maulwurf, Der - Abenteuer als Fotograf",Jesper Christensen,0.008
Natural Born Killers,Jesper Christensen,0.008
Pirates of the Caribbean II: Dead Man's Chest,Jesper Christensen,0.008
Bones: Die Knochenjägerin (Season 3),Jesper Christensen,0.07
Neutral,Jesper Christensen,0.07
Barfuss,Jesper Christensen,0.035
Gestolene Herzen (Two If by Sea),Jesper Christensen,0.021
Iron Man,Jesper Christensen,0.014
Liebe auf Umwegen (Raising Helen),Jesper Christensen,0.014
"Prophezeiung, Die",Jesper Christensen,0.014
"Good Shepherd, The",Jesper Christensen,0.007
Ghost Rider,Jesper Christensen,0.0035
"Pompeji, Die letzten Tage von Pompeji",Jesper Christensen,0.00175
Schneeweisschen und Rosenrot,Jesper Christensen,0.006
So was wie Liebe (A Lot Like Love),Jesper Christensen,0.006
Chaos,Jesper Christensen,0.0015
Pate I (The Godfather),Jesper Christensen,0.0015
Drachenzähmen (How to Train Your Dragon),Jesper Christensen,0.025
Perfect World,Anatole Taubman,0.9
Pate II (The Godfather: Part II),Anatole Taubman,0.99
Hangover 3,Anatole Taubman,0.72
Cars 2,Anatole Taubman,0.63
Final Destination 4,Anatole Taubman,0.45
Krieg der Welten (War of the Worlds),Joaquín Cosio ,1.125
Cast Away,Joaquín Cosio ,0.9
Ice Age 2: The Meltdown,Joaquín Cosio ,0.81
Apocalypse Now,Joaquín Cosio ,0.72
Ice Age 3: Dawn of the Dinosaurs,Joaquín Cosio ,0.63
"American, The",Joaquín Cosio ,0.54
Far and Away (In einem Fernen Land),Joaquín Cosio ,0.006
Flags of Our Fathers,Daniel Craig,0.9
Keinohrhasen,Daniel Craig,0.675
Million Dollar Baby,Daniel Craig,0.585
Gestolene Herzen (Two If by Sea),Daniel Craig,0.54
Jagdfieber (Open Season),Daniel Craig,0.495
"Ghostwriter, Der",Daniel Craig,0.135
Ghost Ship,Daniel Craig,0.24
Mit aller Macht (Primary Colors),Daniel Craig,0.2
Iron Man,Daniel Craig,0.16
Casanova,Daniel Craig,0.016
Dumbo,Daniel Craig,0.008
Final Destination,Daniel Craig,0.008
"Sissi, die junge Kaiserin",Daniel Craig,0.008
Flug 93 (United 93),Daniel Craig,0.021
"Eiskönigin, Die (Frozen)",Daniel Craig,0.007
Mercury Rising,Daniel Craig,0.007
Oblivion,Daniel Craig,0.007
Coyote Ugly,Daniel Craig,0.0035
Krieg der Welten (War of the Worlds),Daniel Craig,0.0035
E-Mail für dich (You've Got Mail),Daniel Craig,0.006
Liebe und Eis (The Cutting Edge),Daniel Craig,0.006
I am Legend,Javier Bardem,0.9
Metro,Javier Bardem,0.81
Captain Corelli's Mandolin,Javier Bardem,0.72
Pinocchio,Javier Bardem,0.68
Flags of Our Fathers,Javier Bardem,0.56
Pate II (The Godfather: Part II),Javier Bardem,0.48
"Arielle, die Meerjungfrau",Javier Bardem,0.12
"Island, The",Javier Bardem,0.07
"Prophezeiung, Die",Javier Bardem,0.007
Bridget Jones's Diary,Javier Bardem,0.024
"Asterix, der Gallier",Judi Dench,1.25
Million Dollar Baby,Judi Dench,0.9
"Baader Meinhof Komplex, Der",Judi Dench,0.855
"Maulwurf, Der - In der Stadt",Judi Dench,0.24
Breaking and Entering,Judi Dench,0.008
Drei Haselnüsse für Aschenbrödel,Ralph Fiennes,2.4
"Last King of Scotland, The",Ralph Fiennes,0.72
Pakt der Wölfe (Brotherhood of the Wolf),Ralph Fiennes,2
"Insider, The",Ralph Fiennes,1.52
Monster,Ralph Fiennes,1.52
Monsters University,Ralph Fiennes,3.15
"Fremde Sohn, Der (Changeling)",Helen McCrory,0.99
National Treasure I,Helen McCrory,0.9
Aladdin,Helen McCrory,0.81
Perfect World,Helen McCrory,0.72
McLeods Töchter: Staffel 6,Helen McCrory,0.63
Monty Python and the Holy Grail,Helen McCrory,0.54
"Da Vinci Code, The",Helen McCrory,0.45
Hangover 3,Helen McCrory,0.45
"Dolmetscherin, Die (The Interpreter)",Helen McCrory,0.32
Drive,Ben Whishaw,1.25
Sideways,Ben Whishaw,0.9
Monty Python's Life of Brian,Ben Whishaw,0.72
Moonlight and Valentino,Naomie Harris,0.75
Sennentuntschi,Naomie Harris,1.8
"Pakt, Der (The Couvenant)",Naomie Harris,1.125
Dornröschen,Naomie Harris,0.9
"Dschungelbuch, Das",Naomie Harris,0.72
"Lazarus Projekt, Das",Naomie Harris,0.54
Moonlight and Valentino,Naomie Harris,0.12
Jackie Brown,Daniel Craig,1.8
Sennentuntschi,Daniel Craig,1.75
Bones: Die Knochenjägerin (Season 1),Daniel Craig,0.95
"Others, The",Daniel Craig,0.9
"Score, The",Daniel Craig,0.81
Black Swan,Daniel Craig,0.675
Shaft,Daniel Craig,0.45
"Pakt, Der (The Couvenant)",Daniel Craig,0.045
Kaltes Blut (Infamous),Daniel Craig,0.36
Bone Collector,Daniel Craig,0.216
Fahrenheit 9/11,Daniel Craig,0.2
Hangover,Daniel Craig,0.16
Operation: Kingdom,Daniel Craig,0.08
LOST - Staffel 5,Daniel Craig,0.008
Liebe und Eis (The Cutting Edge),Daniel Craig,0.006
Jagdfieber (Open Season),Monica Bellucci,1
Million Dollar Baby,Monica Bellucci,0.9
Iron Man,Monica Bellucci,0.72
Keinohrhasen,Monica Bellucci,0.45
Operation Walküre - Stauffenberg Attentat ,Monica Bellucci,0.45
"Ghostwriter, Der",Monica Bellucci,0.6
Coyote Ugly,Monica Bellucci,0.08
Jackie Brown,Dave Bautista,1.85
Sennentuntschi,Dave Bautista,1.75
ROM - 1. Staffel,Dave Bautista,1.44
Black Swan,Dave Bautista,0.99
"Others, The",Dave Bautista,0.9
"Score, The",Dave Bautista,0.855
Bones: Die Knochenjägerin (Season 1),Dave Bautista,0.765
Shaft,Dave Bautista,0.54
Operation: Kingdom,Dave Bautista,0.135
"Hölle Vietnams, Die (A Bright Shining Lie)",Dave Bautista,0.4
Kaltes Blut (Infamous),Dave Bautista,0.36
"American, The",Dave Bautista,0.16
Hangover,Dave Bautista,0.16
Fahrenheit 9/11,Dave Bautista,0.04
"Pakt, Der (The Couvenant)",Dave Bautista,0.04
Shrek 2,Dave Bautista,0.04
LOST - Staffel 5,Dave Bautista,0.008
Bone Collector,Dave Bautista,0.035
"Dschungelbuch, Das",Dave Bautista,0.007
Exit,Dave Bautista,0.007
Final Cut,Dave Bautista,0.007
"Ghostwriter, Der",Léa Seydoux,0.9
Million Dollar Baby,Léa Seydoux,0.855
Flug 93 (United 93),Léa Seydoux,0.81
Se7en,Léa Seydoux,0.765
Schneewittchen und die sieben Zwerge,Léa Seydoux,0.675
Bowling for Columbine,Ralph Fiennes,4.5
Kaltes Blut (Infamous),Ben Whishaw,1
Sennentuntschi,Ben Whishaw,1.35
Max Payne,Ben Whishaw,1.125
Fahrenheit 9/11,Ben Whishaw,0.81
McLeods Töchter: Staffel 5,Ben Whishaw,0.765
"Others, The",Ben Whishaw,0.72
Haven - Staffel 2,Ben Whishaw,0.675
Riddick - The Chronicles of Riddick,Ben Whishaw,0.63
"Hochzeits-Crasher, Die (Wedding Crashers)",Ben Whishaw,0.2
Sandmännchen - Frühlingsträume,Ben Whishaw,0.12
"Pakt, Der (The Couvenant)",Ben Whishaw,0.08
"Last Days on Mars, The",Naomie Harris,0.9
Niko - Ein Rentier hebt ab,Naomie Harris,0.72
No Country for old Men,Naomie Harris,0.64
Blow,Naomie Harris,0.56
"Maulwurf, Der - In der Stadt",Naomie Harris,0.48
Breaking and Entering,Naomie Harris,0.4
ROM - 1. Staffel,Christoph Waltz,1.1
Sahara,Christoph Waltz,1
"Asterix, der Gallier",Christoph Waltz,0.81
Planes,Christoph Waltz,0.72
Conspiracy.com,Christoph Waltz,0.675
Asterix und Kleopatra,Christoph Waltz,0.63
"Prince & Me, The",Christoph Waltz,0.36
"Illusionist, The",Christoph Waltz,0.27
Asterix erobert Rom,Christoph Waltz,0.48
Arn - Der Kreuzritter,Christoph Waltz,0.4
I am Legend,Christoph Waltz,0.16
Knockin' on Heaven's Door,Christoph Waltz,0.08
Liebe und Eis (The Cutting Edge),Christoph Waltz,0.08
Kundun,Christoph Waltz,0.035
Casablanca,Julia Stiles,1.25
Batman - The Dark Knight,Julia Stiles,0.81
Ocean's 12,Julia Stiles,0.72
Madagascar,Julia Stiles,0.63
Hostage,Julia Stiles,0.45
Déjà Vu,Julia Stiles,0.8
Paycheck,Heath Ledger,1.1
McLeods Töchter: Staffel 6,Heath Ledger,0.9
Cars 2,Heath Ledger,0.81
Monty Python and the Holy Grail,Heath Ledger,0.72
Dogma,Heath Ledger,0.675
Cars 2,Heath Ledger,0.63
"Da Vinci Code, The",Heath Ledger,0.45
Cars 2,Joseph Gordon-Levitt,0.63
"Da Vinci Code, The",Joseph Gordon-Levitt,0.63
Sandmännchen - Gute Nacht Geschichten,Joseph Gordon-Levitt,0.27
Monty Python and the Holy Grail,Joseph Gordon-Levitt,0.225
Perfect World,Joseph Gordon-Levitt,0.56
McLeods Töchter: Staffel 6,Joseph Gordon-Levitt,0.4
Hamburger Hill,Joseph Gordon-Levitt,0.12
Romeo + Juliet,Joseph Gordon-Levitt,0.08
San Andreas,Larisa Oleynik,1.5
Lola Rennt,Larisa Oleynik,1
Down in the Valley,Larisa Oleynik,0.5
Green Zone,Larisa Oleynik,0.25
"Good Shepherd, The",Larisa Oleynik,0.05
D-Day 6.6.44,Larisa Oleynik,0.72
"Reader, The (Der Vorleser)",Larisa Oleynik,0.684
"Island, The",Larisa Oleynik,0.675
Hugo Cabret,Larisa Oleynik,0.54
Madagascar,Larisa Oleynik,0.54
Batman - The Dark Knight,Larisa Oleynik,0.531
Flags of Our Fathers,Larisa Oleynik,0.495
City of God,Larisa Oleynik,0.45
Dornröschen,Larisa Oleynik,0.45
Ice Age 2: The Meltdown,Larisa Oleynik,0.45
Cool Runnings,Larisa Oleynik,0.27
